eof,lat,lon,loading,variance_explained_pct
EOF1,-12.5,28.0,0.013555212877690792,99.758
EOF1,-12.5,28.5,0.013554509729146957,99.758
EOF1,-12.5,29.0,0.01355354767292738,99.758
EOF1,-12.5,29.5,0.013552389107644558,99.758
EOF1,-12.5,30.0,0.013551050797104836,99.758
EOF1,-12.5,30.5,0.01355029921978712,99.758
EOF1,-12.5,31.0,0.013549461960792542,99.758
EOF1,-12.5,31.5,0.013548550195991993,99.758
EOF1,-12.5,32.0,0.013548116199672222,99.758
EOF1,-12.5,32.5,0.013549436815083027,99.758
EOF1,-12.5,33.0,0.013550752773880959,99.758
EOF1,-12.5,33.5,0.0135520463809371,99.758
EOF1,-12.5,34.0,0.013552880845963955,99.758
EOF1,-12.5,34.5,0.013552806340157986,99.758
EOF1,-12.0,0.5,0.013539113104343414,99.758
EOF1,-12.0,1.0,0.013539056293666363,99.758
EOF1,-12.0,1.5,0.013539651408791542,99.758
EOF1,-12.0,2.0,0.013539981096982956,99.758
EOF1,-12.0,2.5,0.013539631851017475,99.758
EOF1,-12.0,3.0,0.013539168983697891,99.758
EOF1,-12.0,3.5,0.013538602739572525,99.758
EOF1,-12.0,4.0,0.013537389226257801,99.758
EOF1,-12.0,4.5,0.013535471633076668,99.758
EOF1,-12.0,5.0,0.013533846475183964,99.758
EOF1,-12.0,5.5,0.01353348046541214,99.758
EOF1,-12.0,6.0,0.013533109799027443,99.758
EOF1,-12.0,6.5,0.013532453216612339,99.758
EOF1,-12.0,7.0,0.013531079515814781,99.758
EOF1,-12.0,7.5,0.01352952141314745,99.758
EOF1,-12.0,8.0,0.01352389995008707,99.758
EOF1,-12.0,8.5,0.013518049381673336,99.758
EOF1,-12.0,9.0,0.013512121513485909,99.758
EOF1,-12.0,9.5,0.013507215306162834,99.758
EOF1,-12.0,10.0,0.013507078401744366,99.758
EOF1,-12.0,10.5,0.013506660237908363,99.758
EOF1,-12.0,11.0,0.013506983406841755,99.758
EOF1,-12.0,11.5,0.013514143414795399,99.758
EOF1,-12.0,12.0,0.013526205904781818,99.758
EOF1,-12.0,12.5,0.013538537546992302,99.758
EOF1,-12.0,13.0,0.01354648731648922,99.758
EOF1,-12.0,13.5,0.013554300181567669,99.758
EOF1,-12.0,14.0,0.013557898811995983,99.758
EOF1,-12.0,14.5,0.013557208701968193,99.758
EOF1,-12.0,15.0,0.01355273462831974,99.758
EOF1,-12.0,15.5,0.01355432067066431,99.758
EOF1,-12.0,16.0,0.013554571196436882,99.758
EOF1,-12.0,16.5,0.013553876429796219,99.758
EOF1,-12.0,17.0,0.013553251512348652,99.758
EOF1,-12.0,17.5,0.01355429645627737,99.758
EOF1,-12.0,18.0,0.013555160723626614,99.758
EOF1,-12.0,18.5,0.013555364683270454,99.758
EOF1,-12.0,19.0,0.013555329293012619,99.758
EOF1,-12.0,19.5,0.013555125333368778,99.758
EOF1,-12.0,20.0,0.013554797507822514,99.758
EOF1,-12.0,20.5,0.01355434488505125,99.758
EOF1,-12.0,21.0,0.013552929274737835,99.758
EOF1,-12.0,21.5,0.013550980016589165,99.758
EOF1,-12.0,22.0,0.013549569062888622,99.758
EOF1,-12.0,22.5,0.013548828661441803,99.758
EOF1,-12.0,23.0,0.013551165349781513,99.758
EOF1,-12.0,23.5,0.013553180731832981,99.758
